Content,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,ECFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,EYFP,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1,mRFP1
C6=25000.000000;C12=25000.000000,3009,2923,2936,2882,2904,2820,2903,2886,2884,2834,2796,2888,2980,2858,2938,2892,2902,2998,3030,3086,3090,3189,3276,3417,3412,3808,3864,3990,4283,4689,5061,5618,6091,6706,7440,8377,9549,10723,12355,14015,16046,18898,22096,25766,29548,33624,38502,42962,48222,53440,58550,64010,68746,72530,76151,78977,83272,86853,89629,93468,95916,100334,102775,105673,106755,107780,109730,110777,111916,113337,113542,115100,115994,117146,118438,119983,121357,121673,124310,126127,126874,127860,129778,130626,132185,133378,134645,136430,137773,138906,141024,141804,144027,145888,148131,148863,151705,152144,153989,155493,502,499,493,498,488,496,500,486,503,486,489,491,487,502,503,508,511,504,504,545,538,567,587,632,647,704,745,792,836,949,1009,1079,1221,1281,1365,1475,1568,1674,1782,1908,2038,2134,2330,2453,2618,2763,2939,3134,3310,3532,3657,3822,4068,4219,4362,4525,4718,4842,4990,5121,5244,5314,5573,5698,5901,6112,6397,6472,6645,6859,7002,7175,7326,7454,7579,7658,7765,7935,8040,8141,8269,8374,8420,8580,8630,8617,8848,8922,8978,9121,9122,9324,9449,9501,9733,9838,9898,9995,10141,10248,36,39,37,37,36,42,36,40,42,43,44,40,41,40,40,42,41,42,42,42,45,43,50,54,49,54,56,57,68,70,78,83,89,86,107,107,110,115,115,123,136,137,154,162,164,174,193,193,207,227,235,254,277,286,292,320,330,336,355,367,385,398,405,430,450,478,481,503,554,584,614,630,652,675,683,714,724,740,759,776,816,813,820,852,853,868,902,898,901,932,939,956,969,976,990,1021,1042,1024,1047,1097
C6=25000.000000;C12=2500.000000,2979,2906,2899,2924,2888,2863,2977,2816,2900,2790,2821,2834,2886,2847,2904,2812,3028,2955,3022,3048,3166,3155,3355,3483,3564,3734,4012,4191,4451,4816,5262,5781,6411,6873,7762,8759,9796,11099,12424,14281,16192,18575,21614,25050,29134,32974,37363,42548,47445,52538,57965,63106,68416,73369,77326,81227,85344,88937,92447,96397,98831,102747,107487,109760,112044,115408,117704,118679,121488,121939,124283,124748,126735,128595,129040,130664,133046,133628,135978,137826,139411,141704,143072,144600,147354,148608,150039,151792,154512,155283,157468,159105,159921,163348,165377,166964,167856,169716,171420,173370,504,507,506,495,502,498,498,489,480,486,508,498,509,504,500,508,511,521,532,540,555,562,579,620,650,678,712,799,844,905,1018,1099,1171,1286,1377,1487,1582,1675,1782,1893,2029,2152,2313,2464,2638,2771,2996,3185,3406,3638,3846,4095,4320,4548,4680,4943,5154,5302,5474,5700,5783,5996,6182,6304,6467,6794,7064,7216,7404,7573,7770,7938,8112,8291,8467,8408,8537,8756,8849,8977,9021,9170,9409,9442,9542,9716,9806,9917,10001,10148,10263,10355,10514,10643,10782,10934,10991,11014,11230,11324,34,38,36,39,37,37,40,47,38,42,34,37,32,39,40,43,40,40,50,41,46,42,50,58,51,56,55,59,66,66,66,79,82,90,97,98,104,103,113,120,129,138,138,154,153,171,177,203,196,222,242,255,263,279,279,305,323,338,360,365,379,385,419,434,464,459,491,522,560,567,590,601,611,629,668,680,692,702,710,742,728,745,759,800,768,793,790,818,843,847,835,857,876,889,889,907,899,915,941,932
C6=25000.000000;C12=250.000000,2975,2916,2858,2850,2952,2890,2847,2902,2883,2872,2827,2823,2835,2862,2822,2815,2940,2992,3001,3012,3112,3242,3374,3429,3516,3759,3900,4086,4519,4765,5335,5884,6434,7136,7933,8854,9816,11137,12788,14700,16890,19091,22052,25706,29485,33684,38210,43136,48303,53486,58705,64592,69412,75304,79589,83514,86472,90731,93866,98744,100785,106332,108787,112078,115762,118157,121063,121988,124053,124432,126826,126921,129240,130004,131218,132419,134325,135550,137650,138383,140401,142196,142308,144756,147020,147048,150034,151443,152381,154382,155179,156924,158989,161201,162114,165280,166298,168284,170393,171250,516,518,516,500,502,499,511,505,506,510,502,504,494,505,513,527,512,514,519,531,550,551,586,602,642,683,730,779,839,924,993,1078,1182,1277,1369,1459,1553,1630,1760,1878,1975,2140,2256,2457,2632,2752,2940,3172,3374,3608,3827,3987,4264,4531,4717,4889,5195,5348,5521,5790,5826,6088,6327,6452,6558,6855,7172,7467,7640,7835,7915,8105,8330,8393,8635,8730,8797,8908,9087,9188,9282,9359,9650,9666,9835,9912,10030,10184,10250,10365,10404,10577,10622,10822,10997,11132,11260,11382,11456,11616,36,36,34,38,33,38,38,40,36,42,38,40,40,37,41,41,39,41,43,43,36,40,49,48,52,49,56,64,60,73,79,77,85,98,94,96,107,108,114,128,124,125,137,153,154,162,182,196,207,222,237,236,263,266,296,294,327,347,354,364,380,409,410,415,450,461,492,508,554,564,581,594,626,652,649,669,690,690,723,722,739,744,773,779,796,795,811,817,833,844,842,843,874,877,903,919,924,947,956,974
C6=25000.000000;C12=25.000000,2921,2843,2830,2857,2852,2795,2818,2882,2892,2840,2714,2848,2842,2860,2867,2923,2906,2982,2944,3079,3160,3224,3322,3416,3600,3755,3888,4206,4564,4990,5336,5798,6499,7150,8005,9147,10096,11606,13080,14758,17046,19414,22722,26064,30244,34499,39529,44590,50085,54966,60790,66033,71696,77035,80553,84178,88641,92492,95943,100512,102612,106965,111035,114798,116944,119940,121379,122759,125466,125693,126220,127521,130121,130526,132280,134212,135491,135788,138672,139368,141606,142699,144243,146481,148603,149055,151605,152709,153346,156110,156829,159160,161297,163475,166148,167631,168796,170840,172165,173389,513,502,510,515,510,505,491,494,493,503,488,488,486,496,507,513,504,511,512,529,540,560,568,595,644,690,725,774,821,914,1004,1060,1174,1263,1344,1478,1570,1660,1798,1894,2032,2167,2335,2494,2654,2859,3072,3244,3436,3650,3990,4170,4383,4622,4803,5105,5314,5462,5691,5878,5984,6239,6365,6631,6721,7048,7323,7552,7770,7975,8199,8383,8567,8733,8790,8860,9047,9113,9329,9329,9531,9603,9703,9939,10041,10045,10193,10371,10399,10558,10636,10851,10902,11132,11241,11391,11468,11647,11793,11829,34,41,40,38,36,42,41,39,41,40,39,34,38,38,44,44,41,39,42,41,43,44,50,46,48,52,61,63,63,66,75,83,90,97,94,104,106,117,120,125,129,133,144,144,168,156,176,192,204,224,229,259,268,278,302,303,334,357,357,391,376,401,416,439,452,475,482,529,546,573,598,608,642,671,673,677,719,726,745,751,758,774,782,795,784,824,821,844,856,875,876,880,891,901,931,948,941,964,971,975
C6=25000.000000;C12=2.500000,2896,2853,2830,2778,2838,2883,2779,2816,2826,2806,2856,2891,2812,2826,2878,2846,2868,3025,3009,3145,3108,3234,3323,3397,3562,3775,4016,4303,4546,4807,5257,5716,6352,7070,7829,8653,9880,11182,12568,14472,16402,18634,21806,25260,28932,33146,37779,42767,48246,52972,58756,63988,69420,75116,79535,83097,87598,91230,95030,99748,102114,106916,110279,114077,116873,119979,121683,123201,125606,125868,127806,129580,129926,132018,133294,134530,136002,137073,138998,139499,142320,143886,144566,146166,147506,149972,151363,152927,154292,155443,157086,158400,160645,163454,165417,166206,167856,169911,171415,173112,510,509,514,498,496,477,498,477,476,496,493,489,501,494,514,488,496,502,524,540,536,565,580,608,626,666,698,773,798,885,951,1046,1123,1236,1336,1431,1522,1623,1726,1828,1961,2097,2212,2404,2541,2694,2889,3070,3282,3512,3730,3982,4199,4456,4661,4883,5057,5320,5464,5612,5808,5993,6294,6402,6582,6879,7122,7398,7606,7880,8026,8150,8376,8484,8567,8711,8784,8864,9025,9160,9333,9422,9544,9635,9719,9787,9979,10022,10138,10248,10410,10419,10659,10784,10897,10944,11176,11306,11368,11500,38,40,39,38,38,39,38,41,40,42,41,38,42,40,39,40,44,43,44,44,42,44,46,52,51,58,56,54,65,72,71,80,78,90,90,100,107,118,112,113,122,132,142,146,159,167,177,199,191,210,236,229,254,269,284,303,327,333,353,362,376,399,427,434,457,462,490,510,517,574,586,606,617,651,650,659,702,716,726,715,748,747,779,784,810,786,809,816,836,841,858,865,881,889,900,910,931,942,933,956
C6=25000.000000;C12=0.0,2951,2866,2769,2818,2873,2850,2741,2868,2801,2839,2820,2877,2834,2916,2861,2916,2878,2961,3073,3082,3128,3213,3328,3345,3572,3676,3873,4184,4432,4888,5205,5813,6352,6923,7779,8752,9873,11030,12686,14397,16465,18806,21631,25143,28917,33045,37668,42367,47262,52593,58071,63886,68587,74506,79155,82424,86378,90579,94777,98841,101943,106130,109132,112990,117060,119399,121946,124113,125442,126259,127613,128144,131290,132260,133571,134375,136595,138002,139498,141600,142600,145045,146506,148264,150223,151724,153596,154945,156923,158440,159524,162088,163366,166753,168621,170738,171436,174589,176047,176489,506,500,505,489,499,481,497,503,487,487,498,489,500,488,501,500,508,519,513,538,547,558,583,619,622,673,707,750,835,898,962,1073,1130,1212,1348,1423,1503,1646,1742,1860,1970,2052,2233,2378,2575,2708,2894,3073,3304,3496,3742,3976,4214,4450,4720,4848,5118,5350,5529,5750,5904,6059,6223,6421,6602,6856,7052,7317,7613,7787,7950,8030,8306,8327,8516,8573,8759,8894,8994,9116,9192,9387,9577,9604,9764,9773,9992,10073,10092,10212,10368,10490,10627,10838,10868,11083,11260,11285,11340,11515,37,36,42,35,39,38,40,33,38,38,39,43,36,43,38,48,42,42,47,48,46,49,48,46,53,51,53,63,62,71,77,77,78,88,90,102,109,101,124,121,124,132,144,144,156,164,175,194,187,210,237,246,251,281,290,305,325,342,364,370,390,414,431,429,450,489,509,535,541,554,604,597,636,645,662,677,700,711,720,736,742,744,752,776,790,782,793,808,837,851,870,870,872,881,911,919,913,918,943,932
C6=2500.000000;C12=25000.000000,2875,2926,2806,2841,2844,2851,2843,2840,2872,2776,2918,2858,2849,2843,2796,2821,2839,2820,2830,2900,2882,2914,2947,2941,2941,3089,3086,3109,3151,3268,3312,3347,3530,3687,3746,3857,3990,4166,4422,4577,4899,5244,5803,6097,6610,7247,7974,8821,9662,10508,11366,12432,13519,14523,15161,15987,16919,17479,18534,19673,20222,21600,22273,22792,23692,24600,24788,25102,25388,25751,26081,26466,26180,26998,27046,27140,27726,28070,28283,28842,28917,29332,29745,30153,30178,30475,31046,31611,32219,32354,32642,32897,33262,34146,34400,34792,34868,35674,36066,36120,513,516,511,488,494,504,498,505,500,510,506,501,493,508,512,518,509,548,543,592,619,676,761,887,1047,1230,1408,1712,1974,2473,2865,3370,3889,4384,4880,5418,5977,6547,7225,7917,8775,9516,10484,11377,12346,13205,14178,15251,16090,17131,18158,19102,20212,20984,21855,22740,23454,24213,24858,25712,26137,26926,27426,27989,28837,29867,30588,31865,32820,33756,34306,35189,35925,36851,37522,37689,38750,39033,39632,40080,40696,41279,41640,42204,42366,43015,43436,43898,44248,44558,45022,45331,46057,46502,47015,47713,48163,48776,49070,49286,35,42,38,37,39,39,41,44,38,36,42,40,37,43,42,44,41,46,42,46,40,45,48,55,53,55,64,65,81,72,81,89,91,100,107,106,113,114,127,130,134,148,164,164,170,169,195,204,230,240,250,263,278,282,315,326,327,352,365,382,396,411,426,456,464,484,494,526,552,578,600,660,669,693,683,718,742,752,776,812,823,813,843,858,879,881,891,924,912,930,933,954,946,996,970,1025,1022,1054,1043,1074
C6=2500.000000;C12=2500.000000,2905,2872,2792,2808,2827,2866,2862,2804,2804,2799,2889,2840,2801,2820,2923,2868,2864,2871,2978,3001,3031,3132,3127,3215,3351,3448,3495,3687,3776,4099,4491,4706,5101,5584,6254,6852,7464,8417,9334,10711,12193,13996,16544,18919,22071,25166,28790,32528,36135,40068,44036,47979,52217,55293,58473,60840,63636,65983,69116,71502,73778,77484,79077,81736,83522,84632,85880,86504,87179,89010,89726,89857,90786,92380,93106,93377,95099,95553,97666,98481,99382,100924,102227,103503,103592,104442,106106,107092,108936,110254,110894,111906,112968,114375,116181,116836,118327,119997,120394,121555,506,507,509,510,512,502,517,496,504,514,500,493,506,504,521,502,526,540,519,557,548,566,585,617,642,686,760,797,871,897,999,1104,1194,1272,1354,1460,1543,1625,1723,1849,1938,2087,2205,2321,2478,2621,2716,2919,3039,3208,3341,3487,3643,3765,3916,4022,4177,4241,4358,4453,4534,4700,4797,4912,5098,5274,5337,5414,5594,5745,5718,5840,6052,6071,6120,6249,6262,6375,6483,6490,6655,6661,6885,6913,6998,6991,7166,7217,7265,7344,7443,7570,7552,7667,7768,7945,8006,8118,8198,8157,38,36,35,36,32,38,40,41,37,41,38,39,39,39,41,36,40,40,41,39,40,46,45,55,54,60,61,66,68,67,74,75,87,98,102,98,113,120,121,134,126,134,147,152,170,182,192,192,208,238,250,254,273,288,302,321,332,340,355,380,398,418,426,449,474,486,504,534,566,575,617,614,632,667,680,690,707,717,724,739,745,766,766,790,789,817,817,821,846,862,872,866,858,895,889,935,926,947,938,942
C6=2500.000000;C12=250.000000,2916,2889,2868,2836,2785,2820,2837,2836,2786,2704,2774,2886,2796,2838,2822,2808,2924,2920,2960,3020,3001,3056,3157,3232,3340,3502,3596,3794,3997,4405,4718,4931,5457,5906,6496,7373,8139,9307,10336,11767,13319,15525,18310,20938,24284,27684,31415,35506,39448,43947,48174,52363,57174,60493,63013,66209,69133,73020,76461,78942,81387,84774,88270,90113,92320,93676,93898,95707,97382,98192,99010,100366,102067,103173,104387,104351,106870,106854,109371,109142,111316,112928,114499,115975,116538,118048,119552,120931,121620,123040,124830,125937,127662,128430,128907,131630,132262,134251,135380,136666,513,524,517,507,502,496,510,500,500,504,513,498,510,511,492,510,505,509,517,518,534,547,582,586,632,695,727,775,839,894,975,1079,1173,1241,1334,1444,1517,1609,1715,1829,1920,2102,2242,2338,2512,2633,2794,3002,3094,3302,3475,3667,3882,3961,4194,4290,4410,4556,4752,4823,4933,5104,5180,5290,5526,5696,5832,5994,6121,6230,6293,6381,6550,6609,6717,6748,6908,6962,7159,7205,7304,7364,7426,7485,7660,7647,7808,7936,7987,7937,8137,8230,8273,8392,8428,8616,8688,8795,8901,8939,42,40,30,34,39,40,40,39,40,34,39,41,44,38,39,41,41,44,40,39,41,45,49,50,55,58,64,63,62,76,80,72,82,92,94,100,103,113,118,129,136,132,153,160,176,168,194,205,220,227,234,258,265,282,308,328,351,354,386,385,410,426,429,459,470,515,522,544,574,608,612,635,644,668,690,713,721,708,720,744,750,776,751,773,801,820,819,826,829,828,865,860,897,892,882,893,930,938,940,942
C6=2500.000000;C12=25.000000,2933,2923,2951,2859,2846,2821,2881,2808,2759,2773,2751,2896,2888,2756,2915,2803,2924,2845,2973,2982,3045,3100,3181,3306,3334,3552,3658,3832,4054,4360,4658,5049,5531,6134,6691,7351,8306,9219,10496,12013,13741,15612,18302,21355,24466,27886,31945,35928,40084,44748,48815,53365,57670,62134,64663,67544,70992,73808,77340,80744,82883,86270,89492,91908,94103,95613,96326,97247,99164,99675,100891,101016,102016,103302,104978,105332,106732,107441,109882,111102,111055,113436,114216,116147,116471,116838,119335,119777,121612,122175,123980,125310,126359,128000,129185,131277,132579,133277,134458,134869,522,511,505,520,514,504,507,501,489,493,508,492,504,494,526,522,528,525,532,542,558,566,569,612,632,671,716,773,805,874,946,1015,1151,1201,1280,1376,1488,1573,1683,1769,1876,2019,2136,2274,2392,2513,2685,2815,3010,3194,3386,3497,3667,3816,3961,4091,4291,4342,4475,4575,4662,4803,4930,5061,5282,5441,5566,5694,5890,5936,6034,6108,6229,6279,6349,6436,6561,6655,6730,6772,6829,6929,6993,7152,7235,7244,7386,7472,7435,7587,7677,7669,7861,7941,8023,8222,8212,8304,8394,8376,35,38,38,34,34,40,39,37,38,36,40,40,38,34,40,42,42,42,46,40,44,49,48,52,50,55,54,56,70,74,76,74,81,95,98,99,115,115,114,125,125,135,143,147,164,175,188,186,212,233,226,244,267,296,296,298,326,342,373,375,406,405,435,431,476,496,505,535,562,586,618,620,626,664,680,670,720,722,723,737,756,746,760,757,779,804,810,804,830,822,838,858,864,899,900,898,899,919,932,941
