C6,C12,ATC,IPTG,CFP,YFP
10000,10000,200,1,174716,105561
10000,10000,200,0.333333,166225,94814
10000,10000,200,0.111111,153208,61249
10000,10000,200,0.037037,141838,28429
10000,10000,200,0.012346,143032,16580
10000,10000,100,1,44721,197764
10000,10000,50,1,17711,204730
10000,10000,25,1,10310,220119
10000,10000,12.5,1,9659,224376
10000,10000,6.25,1,9265,218227
2000,10000,200,1,109704,120482
2000,10000,200,0.333333,110864,105321
2000,10000,200,0.111111,116407,61994
2000,10000,200,0.037037,106814,24158
2000,10000,200,0.012346,106120,10114
10000,2000,100,1,75796,137860
10000,2000,50,1,30004,163885
10000,2000,25,1,11050,197860
10000,2000,12.5,1,9526,204572
10000,2000,6.25,1,9159,200984
400,10000,200,1,60155,148721
400,10000,200,0.333333,62376,133681
400,10000,200,0.111111,72302,94247
400,10000,200,0.037037,77368,34450
400,10000,200,0.012346,78214,8508
10000,400,100,1,94144,120884
10000,400,50,1,31367,155736
10000,400,25,1,10322,192472
10000,400,12.5,1,9696,200499
10000,400,6.25,1,8953,181510
80,10000,200,1,24414,195018
80,10000,200,0.333333,25082,180697
80,10000,200,0.111111,28686,163154
80,10000,200,0.037037,38351,54743
80,10000,200,0.012346,43208,11336
10000,80,100,1,109130,84159
10000,80,50,1,51080,118154
10000,80,25,1,9808,167960
10000,80,12.5,1,9564,182343
10000,80,6.25,1,9234,181417
16,10000,200,1,14792,240395
16,10000,200,0.333333,14860,224082
16,10000,200,0.111111,15075,215586
16,10000,200,0.037037,18679,112854
16,10000,200,0.012346,23811,27354
10000,16,100,1,117181,33263
10000,16,50,1,113540,38062
10000,16,25,1,88378,50230
10000,16,12.5,1,14722,110770
10000,16,6.25,1,12340,111987
